kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 32 192 0 0 0 0 0 0 0 
_1.ptx 71 : 32 192 0 0 0 0 0 0 0 
_1.ptx 72 : 32 192 0 0 0 0 0 0 0 
_1.ptx 73 : 32 352 0 0 0 0 0 0 0 
_1.ptx 74 : 32 192 0 0 0 0 0 0 0 
_1.ptx 75 : 32 352 0 0 0 0 0 0 0 
_1.ptx 76 : 32 224 0 0 0 0 0 0 0 
_1.ptx 77 : 32 224 0 0 0 0 0 0 0 
_1.ptx 78 : 32 192 0 0 0 0 0 0 0 
_1.ptx 79 : 32 352 0 0 0 0 0 0 0 
_1.ptx 80 : 32 8512 32 0 0 1 1 0 0 
_1.ptx 81 : 32 192 0 0 0 0 0 0 0 
_1.ptx 85 : 8192 2104960 8192 0 0 256 256 0 0 
_1.ptx 86 : 8192 90112 0 0 0 0 0 0 0 
_1.ptx 87 : 8192 40960 8192 0 0 256 256 0 0 
_1.ptx 88 : 8192 81920 0 0 0 0 0 0 0 
_1.ptx 89 : 8192 81920 0 0 0 0 0 0 0 
_1.ptx 90 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 91 : 8192 65536 0 0 0 0 0 0 0 
_1.ptx 92 : 8192 48960 0 0 0 0 0 0 0 
_1.ptx 94 : 32 192 0 0 0 0 0 0 0 
_1.ptx 95 : 32 192 0 0 0 0 0 0 0 
_1.ptx 96 : 32 192 0 0 0 0 0 0 0 
_1.ptx 97 : 32 192 0 0 0 0 0 0 0 
_1.ptx 98 : 32 320 0 0 0 0 0 0 0 
_1.ptx 99 : 32 224 0 0 0 0 0 0 0 
_1.ptx 100 : 32 8224 64 0 0 0 0 0 0 
_1.ptx 101 : 32 352 0 0 0 0 0 0 0 
_1.ptx 102 : 32 9952 512 0 0 16 1 0 0 
_1.ptx 103 : 32 224 0 0 0 0 0 0 0 
_1.ptx 104 : 32 8480 32 0 0 1 1 0 0 
_1.ptx 105 : 32 256 0 0 0 0 0 0 0 
_1.ptx 106 : 32 9632 512 0 0 16 1 0 0 
_1.ptx 107 : 32 224 0 0 0 0 0 0 0 
_1.ptx 108 : 32 224 0 0 0 0 0 0 0 
_1.ptx 109 : 32 9664 512 0 0 16 1 0 0 
